geo_mean,geo_mean_01,centroid_x,centroid_y
0.219905,0.463608,112.780998,34.370455
0.198834,0.417324,112.780998,34.363040
0.190806,0.399690,112.780998,34.355624
0.168046,0.349697,112.780998,34.348208
0.001488,0.000000,112.780998,34.340790
0.000010,0.000000,112.780998,34.333373
0.072646,0.140149,112.789981,34.489006
0.201240,0.422610,112.789981,34.481602
0.151943,0.314328,112.789981,34.474197
0.162691,0.337934,112.789981,34.466791
0.203538,0.427658,112.789981,34.459384
0.196497,0.412192,112.789981,34.451977
0.193296,0.405159,112.789981,34.444569
0.188323,0.394237,112.789981,34.437161
0.219088,0.461813,112.789981,34.429752
0.177284,0.369989,112.789981,34.422342
0.182293,0.380991,112.789981,34.414931
0.187459,0.392338,112.789981,34.407520
0.184247,0.385283,112.789981,34.400108
0.197122,0.413563,112.789981,34.392696
0.197910,0.415295,112.789981,34.385283
0.221221,0.466499,112.789981,34.377869
0.223430,0.471350,112.789981,34.370455
0.207822,0.437067,112.789981,34.363040
0.219457,0.462624,112.789981,34.355624
0.201495,0.423168,112.789981,34.348208
0.161756,0.335881,112.789981,34.340790
0.021946,0.028783,112.789981,34.333373
0.002639,0.000000,112.798965,34.489006
0.075215,0.145791,112.798965,34.481602
0.168731,0.351201,112.798965,34.474197
0.225667,0.476265,112.798965,34.466791
0.212988,0.448414,112.798965,34.459384
0.192081,0.402490,112.798965,34.451977
0.191895,0.402084,112.798965,34.444569
0.184984,0.386902,112.798965,34.437161
0.175264,0.365552,112.798965,34.429752
0.174434,0.363730,112.798965,34.422342
0.173583,0.361861,112.798965,34.414931
0.181394,0.379018,112.798965,34.407520
0.182396,0.381218,112.798965,34.400108
0.183219,0.383027,112.798965,34.392696
0.176493,0.368253,112.798965,34.385283
0.269670,0.572918,112.798965,34.377869
0.185193,0.387361,112.798965,34.370455
0.205801,0.432627,112.798965,34.363040
0.214575,0.451899,112.798965,34.355624
0.202474,0.425319,112.798965,34.348208
0.152438,0.315414,112.798965,34.340790
0.000000,0.000000,112.807948,34.836278
0.000000,0.000000,112.807948,34.828904
0.000000,0.000000,112.807948,34.821530
0.000160,0.000000,112.807948,34.814155
0.043059,0.075159,112.807948,34.806780
0.098179,0.196233,112.807948,34.799403
0.109004,0.220009,112.807948,34.792027
0.065142,0.123666,112.807948,34.784649
0.000918,0.000000,112.807948,34.777271
0.037984,0.064012,112.807948,34.481602
0.198290,0.416129,112.807948,34.474197
0.206471,0.434100,112.807948,34.466791
0.178826,0.373377,112.807948,34.459384
0.187820,0.393133,112.807948,34.451977
0.195256,0.409465,112.807948,34.444569
0.186358,0.389921,112.807948,34.437161
0.185546,0.388136,112.807948,34.429752
0.179330,0.374483,112.807948,34.422342
0.177580,0.370640,112.807948,34.414931
0.183374,0.383366,112.807948,34.407520
0.180260,0.376526,112.807948,34.400108
0.185511,0.388059,112.807948,34.392696
0.189498,0.396817,112.807948,34.385283
0.214933,0.452687,112.807948,34.377869
0.192108,0.402551,112.807948,34.370455
0.225413,0.475706,112.807948,34.363040
0.188636,0.394923,112.807948,34.355624
0.217065,0.457370,112.807948,34.348208
0.139157,0.286242,112.807948,34.340790
0.000000,0.000000,112.807948,34.333373
0.000000,0.000000,112.816931,34.828904
0.000000,0.000000,112.816931,34.821530
0.141725,0.291882,112.816931,34.814155
0.302934,0.645985,112.816931,34.806780
0.400651,0.860622,112.816931,34.799403
0.325969,0.696582,112.816931,34.792027
0.315919,0.674507,112.816931,34.784649
0.100479,0.201283,112.816931,34.777271
0.000000,0.000000,112.816931,34.769892
0.000000,0.000000,112.816931,34.696067
0.000000,0.000000,112.816931,34.688681
0.000000,0.000000,112.816931,34.681294
0.000000,0.000000,112.816931,34.673907
0.000000,0.000000,112.816931,34.629568
0.015142,0.013839,112.816931,34.481602
0.152435,0.315408,112.816931,34.474197
0.243235,0.514853,112.816931,34.466791
0.186964,0.391253,112.816931,34.459384
0.198588,0.416785,112.816931,34.451977
0.189257,0.396288,112.816931,34.444569
0.183390,0.383401,112.816931,34.437161
0.194846,0.408565,112.816931,34.429752
0.186273,0.389734,112.816931,34.422342
0.184612,0.386086,112.816931,34.414931
0.177741,0.370992,112.816931,34.407520
0.178824,0.373372,112.816931,34.400108
0.185909,0.388935,112.816931,34.392696
0.188824,0.395338,112.816931,34.385283
0.240807,0.509520,112.816931,34.377869
0.195965,0.411023,112.816931,34.370455
0.223524,0.471557,112.816931,34.363040
0.212887,0.448193,112.816931,34.355624
0.204354,0.429450,112.816931,34.348208
0.205075,0.431034,112.816931,34.340790
0.018687,0.021625,112.816931,34.333373
0.027625,0.041258,112.825914,34.821530
0.282136,0.600301,112.825914,34.814155
0.304212,0.648790,112.825914,34.806780
0.371064,0.795635,112.825914,34.799403
0.385865,0.828145,112.825914,34.792027
0.335668,0.717886,112.825914,34.784649
0.123796,0.252502,112.825914,34.777271
0.000000,0.000000,112.825914,34.769892
0.010614,0.003891,112.825914,34.696067
0.052493,0.095881,112.825914,34.688681
0.037368,0.062659,112.825914,34.681294
0.000236,0.000000,112.825914,34.673907
0.000000,0.000000,112.825914,34.666518
0.004714,0.000000,112.825914,34.659130
0.000001,0.000000,112.825914,34.651740
0.084783,0.166808,112.825914,34.629568
0.012643,0.008350,112.825914,34.622176
0.000000,0.000000,112.825914,34.592601
0.016451,0.016714,112.825914,34.481602
0.170316,0.354683,112.825914,34.474197
0.199117,0.417946,112.825914,34.466791
0.242456,0.513141,112.825914,34.459384
0.204642,0.430081,112.825914,34.451977
0.198209,0.415953,112.825914,34.444569
0.187402,0.392214,112.825914,34.437161
0.182029,0.380412,112.825914,34.429752
0.176672,0.368645,112.825914,34.422342
0.180010,0.375978,112.825914,34.414931
0.181987,0.380319,112.825914,34.407520
0.176590,0.368466,112.825914,34.400108
0.183553,0.383759,112.825914,34.392696
0.183893,0.384507,112.825914,34.385283
0.217370,0.458040,112.825914,34.377869
0.210700,0.443388,112.825914,34.370455
0.249924,0.529547,112.825914,34.363040
0.225978,0.476948,112.825914,34.355624
0.209308,0.440332,112.825914,34.348208
0.242302,0.512804,112.825914,34.340790
0.057206,0.106234,112.825914,34.333373
0.000442,0.000000,112.834897,34.821530
0.185821,0.388740,112.834897,34.814155
0.338174,0.723389,112.834897,34.806780
0.377601,0.809993,112.834897,34.799403
0.305372,0.651339,112.834897,34.792027
0.366412,0.785417,112.834897,34.784649
0.009152,0.000682,112.834897,34.777271
0.000000,0.000000,112.834897,34.769892
0.000000,0.000000,112.834897,34.703452
0.158410,0.328531,112.834897,34.696067
0.286816,0.610581,112.834897,34.688681
0.276300,0.587481,112.834897,34.681294
0.236329,0.499684,112.834897,34.673907
0.140374,0.288915,112.834897,34.666518
0.257864,0.546985,112.834897,34.659130
0.107759,0.217275,112.834897,34.651740
0.000001,0.000000,112.834897,34.644350
0.000000,0.000000,112.834897,34.636959
0.194700,0.408245,112.834897,34.629568
0.047084,0.084001,112.834897,34.622176
0.000000,0.000000,112.834897,34.607390
0.003166,0.000000,112.834897,34.599996
0.001133,0.000000,112.834897,34.592601
0.004039,0.000000,112.834897,34.481602
0.171402,0.357070,112.834897,34.474197
0.226944,0.479070,112.834897,34.466791
0.199024,0.417743,112.834897,34.459384
0.190861,0.399811,112.834897,34.451977
0.197029,0.413360,112.834897,34.444569
0.202166,0.424644,112.834897,34.437161
0.183592,0.383845,112.834897,34.429752
0.204267,0.429258,112.834897,34.422342
0.184438,0.385703,112.834897,34.414931
0.181892,0.380111,112.834897,34.407520
0.198419,0.416413,112.834897,34.400108
0.176649,0.368594,112.834897,34.392696
0.191260,0.400689,112.834897,34.385283
0.225980,0.476953,112.834897,34.377869
0.203425,0.427410,112.834897,34.370455
0.247430,0.524068,112.834897,34.363040
0.214636,0.452035,112.834897,34.355624
0.207328,0.435981,112.834897,34.348208
0.217159,0.457575,112.834897,34.340790
0.076580,0.148789,112.834897,34.333373
0.020372,0.025327,112.834897,34.325954
0.000000,0.000000,112.834897,34.318535
0.000000,0.000000,112.834897,34.311116
0.006622,0.000000,112.834897,34.303695
0.000139,0.000000,112.834897,34.296275
0.062522,0.117909,112.843880,34.814155
0.377497,0.809765,112.843880,34.806780
0.353489,0.757029,112.843880,34.799403
0.353220,0.756438,112.843880,34.792027
0.211171,0.444423,112.843880,34.784649
0.000005,0.000000,112.843880,34.777271
0.000000,0.000000,112.843880,34.769892
0.001176,0.000000,112.843880,34.703452
0.274904,0.584415,112.843880,34.696067
0.299705,0.638892,112.843880,34.688681
0.284426,0.605330,112.843880,34.681294
0.290518,0.618713,112.843880,34.673907
0.300288,0.640171,112.843880,34.666518
0.300353,0.640314,112.843880,34.659130
0.265616,0.564013,112.843880,34.651740
0.144266,0.297464,112.843880,34.644350
0.125441,0.256115,112.843880,34.636959
0.225785,0.476524,112.843880,34.629568
0.206042,0.433156,112.843880,34.622176
0.051232,0.093111,112.843880,34.614783
0.109719,0.221579,112.843880,34.607390
0.286889,0.610741,112.843880,34.599996
0.220519,0.464957,112.843880,34.592601
0.006520,0.000000,112.843880,34.585206
0.007341,0.000000,112.843880,34.481602
0.149053,0.307979,112.843880,34.474197
0.184951,0.386831,112.843880,34.466791
0.200291,0.420525,112.843880,34.459384
