time,mu_hour
2021-07-17 08:00:00,1625.4196493685658
2021-07-17 09:00:00,2317.7005281313177
2021-07-17 10:00:00,2209.5315888147616
2021-07-17 11:00:00,113.92968201750517
2021-07-17 12:00:00,693.9099285911634
2021-07-17 13:00:00,346.2052326140632
2021-07-17 14:00:00,3207.7436726681376
2021-07-17 15:00:00,1354.2629401740592
2021-07-17 16:00:00,782.0084201937201
2021-07-17 17:00:00,3965.8401355305787
2021-07-17 18:00:00,1451.9451664942903
2021-07-17 19:00:00,1082.2617417425665
2021-07-17 20:00:00,889.5187885684818
2021-07-17 21:00:00,1466.224128255213
2021-07-17 22:00:00,3426.4129400843944
2021-07-17 23:00:00,2712.0522095338692
2021-07-18 00:00:00,1537.1804430838797
2021-07-18 01:00:00,4542.454288577837
2021-07-18 02:00:00,2179.8724701328983
2021-07-18 03:00:00,843.9574567825292
2021-07-18 04:00:00,1822.9474304269997
2021-07-18 05:00:00,675.8676168749773
2021-07-18 06:00:00,1286.5694108189077
2021-07-18 07:00:00,1432.615295759953
2021-07-18 08:00:00,5624.512808652653
2021-07-18 09:00:00,3653.151336527502
2021-07-18 10:00:00,2587.6475734320757
2021-07-18 11:00:00,2174.111569769136
2021-07-18 12:00:00,1937.0615416659678
2021-07-18 13:00:00,4557.1642689493565
2021-07-18 14:00:00,3703.89494256269
2021-07-18 15:00:00,1132.216551267296
2021-07-18 16:00:00,4134.7791637855025
2021-07-18 17:00:00,4624.900306232704
2021-07-18 18:00:00,3071.580924154687
2021-07-18 19:00:00,583.2870030794312
2021-07-18 20:00:00,2412.7237819026577
2021-07-18 21:00:00,1712.9611163886311
2021-07-18 22:00:00,2124.0980572677486
2021-07-18 23:00:00,1815.6857265198214
2021-07-19 00:00:00,3536.523163580719
2021-07-19 01:00:00,5043.921553609577
2021-07-19 02:00:00,3963.6378526997582
2021-07-19 03:00:00,1693.8165931570038
2021-07-19 04:00:00,900.8332354564151
2021-07-19 05:00:00,5551.809924256129
2021-07-19 06:00:00,2590.7051371330735
2021-07-19 07:00:00,4325.491611543068
2021-07-19 08:00:00,5858.883877022806
2021-07-19 09:00:00,3943.1762633669705
2021-07-19 10:00:00,6052.63326537316
2021-07-19 11:00:00,4712.003791095236
2021-07-19 12:00:00,7436.1750747117
2021-07-19 13:00:00,5052.23417786641
2021-07-19 14:00:00,10036.262804684753
2021-07-19 15:00:00,7325.315287799366
2021-07-19 16:00:00,2656.8237817912536
2021-07-19 17:00:00,3248.2211532160877
2021-07-19 18:00:00,4421.207116557371
2021-07-19 19:00:00,3318.04924379587
2021-07-19 20:00:00,2981.34365708294
2021-07-19 21:00:00,4817.213458351436
2021-07-19 22:00:00,4343.292025499664
2021-07-19 23:00:00,4248.763290432821
2021-07-20 00:00:00,3568.5372590736883
2021-07-20 01:00:00,1989.1424210260377
2021-07-20 02:00:00,3073.82167427286
2021-07-20 03:00:00,2943.016628092376
2021-07-20 04:00:00,4347.051032303907
2021-07-20 05:00:00,4241.056838378648
2021-07-20 06:00:00,5493.27023862097
2021-07-20 07:00:00,4339.988319101473
2021-07-20 08:00:00,4048.917831946592
2021-07-20 09:00:00,5858.895632494883
2021-07-20 10:00:00,6847.232197113847
2021-07-20 11:00:00,6979.721789735717
2021-07-20 12:00:00,3865.8130179271175
2021-07-20 13:00:00,6023.550885546546
2021-07-20 14:00:00,4578.741930301181
2021-07-20 15:00:00,3798.1364680829447
2021-07-20 16:00:00,64093.1651231919
2021-07-20 17:00:00,48447.10847727707
2021-07-20 18:00:00,7374.022815215325
2021-07-20 19:00:00,3883.904698623004
2021-07-20 20:00:00,4068.667950330381
2021-07-20 21:00:00,4788.044978418805
2021-07-20 22:00:00,11390.06005731548
2021-07-20 23:00:00,8785.148041712198
2021-07-21 00:00:00,5470.046084862845
2021-07-21 01:00:00,4438.325734807984
2021-07-21 02:00:00,2429.221789065696
2021-07-21 03:00:00,5359.824295195064
2021-07-21 04:00:00,6654.660981822108
2021-07-21 05:00:00,7766.118252690877
2021-07-21 06:00:00,9914.92939591666
2021-07-21 07:00:00,5869.670733281549
2021-07-21 08:00:00,4671.469626476571
2021-07-21 09:00:00,3392.4256241396415
2021-07-21 10:00:00,5123.839873532725
2021-07-21 11:00:00,3888.22448096635
2021-07-21 12:00:00,4493.365575175476
2021-07-21 13:00:00,3436.294033620866
2021-07-21 14:00:00,3842.402547628418
2021-07-21 15:00:00,6212.486967308045
2021-07-21 16:00:00,3510.062366028157
2021-07-21 17:00:00,2917.8977618002414
2021-07-21 18:00:00,3940.4680928486437
2021-07-21 19:00:00,5496.741376305113
2021-07-21 20:00:00,2333.488896163858
2021-07-21 21:00:00,3135.7224953280456
2021-07-21 22:00:00,4670.73884067649
2021-07-21 23:00:00,3822.8806737898367
2021-07-22 00:00:00,2515.4411034774153
2021-07-22 01:00:00,2753.709134000513
2021-07-22 02:00:00,4334.536941833202
2021-07-22 03:00:00,2564.439749951239
2021-07-22 04:00:00,1867.5192956123867
2021-07-22 05:00:00,2010.6111524767011
2021-07-22 06:00:00,4859.6689220126245
2021-07-22 07:00:00,1965.9460419057293
2021-07-22 08:00:00,1783.5423252565665
2021-07-22 09:00:00,1009.8720216644778
2021-07-22 10:00:00,2632.6975561613594
2021-07-22 11:00:00,2398.221232820283
2021-07-22 12:00:00,2009.6625933050325
2021-07-22 13:00:00,463.180408893853
2021-07-22 14:00:00,1271.274245460441
2021-07-22 15:00:00,563.0884382019302
2021-07-22 16:00:00,3766.442261854698
2021-07-22 17:00:00,3140.608434571596
