time,I_theta_mmph,lambda_per_hr,expected_5min
2021-07-17 08:00:00,0.10350339974706238,100.57313931582297,8.381094942985246
2021-07-17 08:05:00,0.1698576480834047,177.61153715047385,14.800961429206154
2021-07-17 08:10:00,0.3354547690212441,387.46377479459056,32.28864789954921
2021-07-17 08:15:00,0.6742549190591088,859.7372389388808,71.64476991157339
2021-07-17 08:20:00,1.2184214651458776,1680.5275135531758,140.04395946276463
2021-07-17 08:25:00,1.874339453319916,2721.7971204647893,226.8164267053991
2021-07-17 08:30:00,2.4026464937863974,3581.8711505159113,298.4892625429926
2021-07-17 08:35:00,2.53104309617803,3792.5905102618517,316.0492091884876
2021-07-17 08:40:00,1.7102282399639515,2457.787291073553,204.81560758946276
2021-07-17 08:45:00,0.815470868988155,1067.1370438954893,88.92808699129077
2021-07-17 08:50:00,0.7262526037145233,935.5365570013362,77.96137975011135
2021-07-17 08:55:00,1.2581862047251897,1742.4029154569146,145.20024295474286
2021-07-17 09:00:00,1.8372750565404115,2662.0105718304053,221.83421431920044
2021-07-17 09:05:00,1.9550066039182024,2852.211709118477,237.6843090932064
2021-07-17 09:10:00,1.8347792827645173,2657.9879800709723,221.4989983392477
2021-07-17 09:15:00,1.6099033260254623,2297.3737730000767,191.44781441667305
2021-07-17 09:20:00,1.3550069580460251,1893.8684412809798,157.8223701067483
2021-07-17 09:25:00,1.1572222628599242,1585.7070142624036,132.14225118853363
2021-07-17 09:30:00,1.0927888050143286,1486.4455129876171,123.87045941563476
2021-07-17 09:35:00,1.2011525452178402,1653.7203127273576,137.81002606061313
2021-07-17 09:40:00,1.4580016292577183,2056.1428215132664,171.34523512610554
2021-07-17 09:45:00,1.7747885035147437,2561.4233861640105,213.45194884700086
2021-07-17 09:50:00,2.025533047070065,2966.5403389969297,247.2116949164108
2021-07-17 09:55:00,2.131600137371916,3138.974475623315,261.58120630194287
2021-07-17 10:00:00,2.160646643781138,3186.290663874695,265.5242219895579
2021-07-17 10:05:00,2.3265527256436043,3457.2433694731785,288.10361412276484
2021-07-17 10:10:00,2.7116759396997776,4089.799980850906,340.8166650709088
2021-07-17 10:15:00,2.968234930245975,4513.073322862895,376.0894435719079
2021-07-17 10:20:00,2.6845775954498294,4045.163798325889,337.09698319382403
2021-07-17 10:25:00,2.0744987203738687,3046.074216712443,253.83951805937025
2021-07-17 10:30:00,1.3730621482505294,1922.2334372473358,160.1861197706113
2021-07-17 10:35:00,0.7979590869402541,1041.162008647724,86.76350072064366
2021-07-17 10:40:00,0.44011762250968123,528.5676122040551,44.047301017004585
2021-07-17 10:45:00,0.2657088614285813,296.69098250700154,24.724248542250127
2021-07-17 10:50:00,0.19559102503227369,208.81323948758634,17.401103290632193
2021-07-17 10:55:00,0.1712360594422027,179.26643358343105,14.93886946528592
2021-07-17 11:00:00,0.1608538448755101,166.8502587209482,13.904188226745683
2021-07-17 11:05:00,0.15516583186604568,160.0966563786702,13.341388031555848
2021-07-17 11:10:00,0.1497968075522782,153.7547453220198,12.812895443501649
2021-07-17 11:15:00,0.14407643419999455,147.03418924888953,12.252849104074127
2021-07-17 11:20:00,0.13691805148799527,138.6790376634278,11.556586471952317
2021-07-17 11:25:00,0.12815011359651665,128.53220676396413,10.711017230330343
2021-07-17 11:30:00,0.118546389215312,117.53449506157553,9.794541255131293
2021-07-17 11:35:00,0.10560940234941212,102.92707292837893,8.577256077364911
2021-07-17 11:40:00,0.09205734614746792,87.90608574087533,7.325507145072944
2021-07-17 11:45:00,0.07715698151973735,71.76608588473646,5.980507157061371
2021-07-17 11:50:00,0.060735837005635375,54.51191807660493,4.542659839717077
2021-07-17 11:55:00,0.043927352684567496,37.56343241997133,3.1302860349976105
2021-07-17 12:00:00,0.02570585737000124,20.288451751163205,1.6907043125969337
2021-07-17 12:05:00,0.00838575167169979,5.5958174810436425,0.46631812342030354
2021-07-17 12:10:00,0.00882524511548151,5.934364715825222,0.4945303929854351
2021-07-17 12:15:00,0.03896308152935628,32.72631021470019,2.7271925178916825
2021-07-17 12:20:00,0.13374274672074887,134.99305816892632,11.249421514077193
2021-07-17 12:25:00,0.35692551875554485,415.9716515362962,34.66430429469135
2021-07-17 12:30:00,0.7405858003000083,956.5515581665065,79.71262984720887
2021-07-17 12:35:00,1.1947129811133572,1643.734080051092,136.97784000425764
2021-07-17 12:40:00,1.498449825395053,2120.1678256222917,176.68065213519097
2021-07-17 12:45:00,1.3667943421466804,1912.3825238869103,159.3652103239092
2021-07-17 12:50:00,0.6889555354526279,881.095370209603,73.42461418413357
2021-07-17 12:55:00,0.18630259264760182,197.4781312896033,16.456510940800275
2021-07-17 13:00:00,0.027040618812692246,21.504266991895648,1.7920222493246372
2021-07-17 13:05:00,0.0021869471097881467,1.1929650210905949,0.09941375175754957
2021-07-17 13:10:00,0.0004863267485621999,0.21173189923109767,0.017644324935924806
2021-07-17 13:15:00,0.0016521852478559693,0.864137774199185,0.07201148118326542
2021-07-17 13:20:00,0.005952755984559417,3.7733382712350108,0.3144448559362509
2021-07-17 13:25:00,0.034566854045792836,28.51852097233153,2.3765434143609605
2021-07-17 13:30:00,0.09203776478462733,87.88460614449345,7.323717178707787
2021-07-17 13:35:00,0.18800836151976513,199.5537694501034,16.629480787508616
2021-07-17 13:40:00,0.3432935140060758,397.84320379245355,33.153600316037796
2021-07-17 13:45:00,0.5715660020999761,712.257860331924,59.354821694327
2021-07-17 13:50:00,0.8564946324391868,1128.2465076173237,94.02054230144364
2021-07-17 13:55:00,1.1487441278668797,1572.6118831024773,131.05099025853977
