frame_idx,time_str,n_grids,mean,std,min,max,range,q05,q25,q50,q75,q95
0,2021-07-17 08:00,11602,0.1388553697638338,0.37520367385212394,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
18,2021-07-18 02:00,11602,2.084303641732386,1.4218908027784585,0.0,10.004942954538924,10.004942954538924,0.0,1.0,1.9042832859250156,2.940380064047214,4.650813997856335
33,2021-07-18 17:00,11602,3.4447040342853588,1.9063155315301452,0.0,15.016829939946554,15.016829939946554,0.5078928771153955,2.129856048432895,3.2880209462871424,4.5944642131401565,6.78332928058868
50,2021-07-19 10:00,11602,4.703203256536055,2.358833690987907,0.0,19.559880300215735,19.559880300215735,0.9764292602345522,3.120985920903363,4.588755413200694,6.105669621158904,8.739169013753742
60,2021-07-19 20:00,11602,5.926962141185051,2.758187860092135,0.0,24.261455095247157,24.261455095247157,1.3732200116581912,4.13898043971025,5.849781701575994,7.58981505050522,10.480687957428975
73,2021-07-20 09:00,11602,6.191865489948106,2.8264223588133777,0.0,25.289355662036705,25.289355662036705,1.5072124065904307,4.415730990593466,6.120985262583076,7.888567105603732,10.79286225658831
81,2021-07-20 17:00,11602,15.440845809663696,6.320696001352902,0.0,65.06686823167645,65.06686823167645,4.301665964571979,11.891876571640413,15.507952702207184,19.09084187795873,25.294578300826114
90,2021-07-21 02:00,11602,12.77357154738132,5.133972286084089,0.0,52.2841496033649,52.2841496033649,3.6504479378522743,10.029583784061469,12.904887145498254,15.650050059435214,20.735996987122775
99,2021-07-21 11:00,11602,11.139663104055618,4.461800156069167,0.0,45.282909974914254,45.282909974914254,3.058938109368827,8.724623236613919,11.248379148627166,13.663352388990807,18.041130105370797
111,2021-07-21 23:00,11602,8.61133554065176,3.525997631458306,0.0,40.16960213349126,40.16960213349126,2.3702706657896986,6.6717454127582485,8.649812391667446,10.538363367243463,14.136910436664476
126,2021-07-22 14:00,11602,5.528173456680317,2.3585937133299444,0.0,27.141415136328984,27.141415136328984,1.4819574718736641,4.141420250183578,5.511687934190698,6.894930252768834,9.257610859367668
144,2021-07-23 08:00,11602,3.601664347581649,1.6668242620370681,0.0,14.629394622690645,14.629394622690645,0.8631952162947609,2.5543746167211707,3.520253835434672,4.5769286644136224,6.39315821825186
