grid_id,mean,std,min,max,range,q05,q25,q50,q75,q95,n_frames
10291,7.595596556316891,6.2141203951839845,0.0,19.20570229637287,19.20570229637287,1.168384307574555,2.847484363940097,5.20594631956121,12.028064796679564,18.04261287983668,12
10292,6.926748610604066,5.4496919130353865,0.0,17.08741010320326,17.08741010320326,0.55,2.4099679271160173,5.392304361960812,10.38060179294988,15.383224405333902,12
10293,6.884305645692927,5.512952178817474,0.0,18.21322123821127,18.21322123821127,1.0314612420144003,3.4300732272473553,4.27537291173886,9.412919496410797,16.726753903190055,12
10294,8.535068716742748,6.195898182808798,0.0,23.337782730005834,23.337782730005834,1.4742392616569258,4.066718788575999,7.78100434317826,10.580257621571722,19.400312255580587,12
10295,6.05983058084269,4.69802267244625,0.0,16.229301675171577,16.229301675171577,0.5647459333667177,2.596371331695876,4.993894960224605,8.753050968635856,14.248101794820068,12
10296,8.171860786626771,4.478505650954463,1.0,15.294039811884186,14.294039811884186,3.177337577368245,5.264880341418737,5.754402433937466,12.024246482332977,14.937827416053057,12
10297,8.149200332125583,4.919327482362982,0.0,16.768055601469303,16.768055601469303,0.8745274745306306,4.360790421007859,8.738092193503517,10.481678168369083,15.492182717089003,12
10298,6.913772136023694,4.235358277508791,0.0,13.538127415045315,13.538127415045315,1.583796173257737,3.6784199741018386,6.330716826301449,10.99743438179717,13.261026565736897,12
10299,6.572030501585715,4.477049085877338,0.0,16.221934044789972,16.221934044789972,1.1928770985955133,3.729970715708168,5.138321381801511,8.556310379958378,14.465488076071255,12
10300,7.503412367484045,4.994626468696843,1.0,18.22373577529021,17.22373577529021,2.45349230502243,3.8815102692230488,5.5592260315442985,9.76766857817121,16.912512552722077,12
10301,7.607223210587165,5.688181604679275,0.0,20.22160814727793,20.22160814727793,1.282698117891935,4.030061710500799,5.947057252838398,9.792923975831165,17.344701051893324,12
10302,10.12008727164615,5.683508452009175,0.0,21.66512060636693,21.66512060636693,2.4394171524647548,7.193954681067597,9.015726657117963,14.340151834026688,19.20831640622003,12
10303,8.902710051485299,5.549711201061476,0.0,21.08821210763433,21.08821210763433,1.9299510289823576,5.269113604087604,7.488537375097883,12.121053653318473,17.708961836896844,12
10304,6.016102714541414,3.6522768211719456,0.0,14.080588029652056,14.080588029652056,1.7885309920975114,3.6267582725779555,5.359529906588689,7.665232255513953,12.12797190979341,12
